HigherSeed,HigherSeedID,HigherSeedNum,LowerSeed,LowerSeedID,LowerSeedNum,Predictions
Akron,1103,12,Troy,1407,13,0.5685351117247732
UCF,1416,10,Akron,1103,12,0.5347643747600963
UCLA,1417,7,Akron,1103,12,0.6615800784423707
Akron,1103,12,UMBC,1420,16,0.6278615199487815
Utah State,1429,9,Akron,1103,12,0.5
Vanderbilt,1435,5,Akron,1103,12,0.6460212404814427
VCU,1433,11,Akron,1103,12,0.584021621904376
Villanova,1437,8,Akron,1103,12,0.6140693966704673
Virginia,1438,3,Akron,1103,12,0.6241030161921374
Wisconsin,1458,5,Akron,1103,12,0.6607173144795185
Akron,1103,12,Wright State,1460,14,0.5
Arizona,1112,1,Alabama,1104,4,0.5723279656804007
Alabama,1104,4,Arkansas,1116,4,0.49090841616588676
Alabama,1104,4,BYU,1140,6,0.5960092670956614
Alabama,1104,4,Cal Baptist,1465,13,0.7484808995641117
Alabama,1104,4,Clemson,1155,8,0.6094742151671753
Connecticut,1163,2,Alabama,1104,4,0.6301878977616171
Duke,1181,1,Alabama,1104,4,0.6319513691877854
Florida,1196,1,Alabama,1104,4,0.5988402962009678
Alabama,1104,4,Furman,1202,15,0.7756334474316997
Alabama,1104,4,Georgia,1208,8,0.58340299974421
Gonzaga,1211,3,Alabama,1104,4,0.5746819059837059
Alabama,1104,4,Hawaii,1218,13,0.7465451146615008
Alabama,1104,4,High Point,1219,12,0.6931480636998992
Alabama,1104,4,Hofstra,1220,13,0.6943248102530015
Houston,1222,2,Alabama,1104,4,0.5823084200463521
Alabama,1104,4,Howard,1224,16,0.8056423817895806
Alabama,1104,4,Idaho,1225,15,0.7821853241252584
Illinois,1228,3,Alabama,1104,4,0.5202419521067501
Alabama,1104,4,Iowa,1234,9,0.5671660598340594
Iowa St,1235,2,Alabama,1104,4,0.5
Alabama,1104,4,Kansas,1242,4,0.4741204972876938
Alabama,1104,4,Kennesaw State,1244,14,0.5
Alabama,1104,4,Kentucky,1246,7,0.5184915927715112
Alabama,1104,4,Lehigh,1250,16,0.8489053674708024
Alabama,1104,4,LIU Brooklyn,1254,16,0.8134396441162438
Alabama,1104,4,Louisville,1257,6,0.5240499932330274
Alabama,1104,4,McNeese St,1270,12,0.5
Alabama,1104,4,Miami FL,1274,7,0.5536573650840794
Alabama,1104,4,Miami OH,1275,11,0.6997189959519923
Michigan,1276,1,Alabama,1104,4,0.678142540720482
Michigan St,1277,3,Alabama,1104,4,0.5
Alabama,1104,4,Missouri,1281,10,0.6307195849235397
Alabama,1104,4,North Dakota State,1295,14,0.5
Alabama,1104,4,NC State,1301,11,0.5
Nebraska,1304,4,Alabama,1104,4,0.45461942749370254
Alabama,1104,4,North Carolina,1314,6,0.4506891521677887
Alabama,1104,4,Northern Iowa,1320,12,0.6760583494256781
Alabama,1104,4,Ohio St,1326,8,0.5
Alabama,1104,4,Penn,1335,14,0.7771830680677604
Alabama,1104,4,Prairie View,1341,16,0.5
Purdue,1345,2,Alabama,1104,4,0.5484614034821869
Alabama,1104,4,Queens,1474,15,0.8014862417245958
Alabama,1104,4,Santa Clara,1365,10,0.6023684426542633
Alabama,1104,4,Siena,1373,16,0.7858784122373881
Alabama,1104,4,SMU,1374,11,0.6072533798554862
Alabama,1104,4,South Florida,1378,11,0.6184192685179977
Alabama,1104,4,St John's,1385,5,0.5
Alabama,1104,4,Saint Louis,1387,9,0.5822447790318963
Alabama,1104,4,St Mary's CA,1388,7,0.5
Alabama,1104,4,TCU,1395,9,0.6106755480317071
Alabama,1104,4,Tennessee,1397,6,0.507048466775333
Alabama,1104,4,Tennessee State,1398,15,0.5
Alabama,1104,4,Texas,1400,11,0.6224015751024721
Alabama,1104,4,Texas A&M,1401,10,0.595648396110698
Alabama,1104,4,Texas Tech,1403,5,0.5506324443581985
Alabama,1104,4,Troy,1407,13,0.7430974596309776
Alabama,1104,4,UCF,1416,10,0.6563276156352602
Alabama,1104,4,UCLA,1417,7,0.5289450856092238
Alabama,1104,4,UMBC,1420,16,0.7873971798109795
Alabama,1104,4,Utah State,1429,9,0.5
Alabama,1104,4,Vanderbilt,1435,5,0.5460337679137548
Alabama,1104,4,VCU,1433,11,0.6099135283801042
Alabama,1104,4,Villanova,1437,8,0.5797636184785018
Virginia,1438,3,Alabama,1104,4,0.43063688375318254
Alabama,1104,4,Wisconsin,1458,5,0.5299045238990239
Alabama,1104,4,Wright State,1460,14,0.5
Arizona,1112,1,Arkansas,1116,4,0.5634031513489224
Arizona,1112,1,BYU,1140,6,0.6637877623564898
Arizona,1112,1,Cal Baptist,1465,13,0.7992931388419247
Arizona,1112,1,Clemson,1155,8,0.6762208798168848
Arizona,1112,1,Connecticut,1163,2,0.4398754838372529
Duke,1181,1,Arizona,1112,1,0.5619898728809588
Arizona,1112,1,Florida,1196,1,0.472707213971153
Arizona,1112,1,Furman,1202,15,0.8222628740696674
Arizona,1112,1,Georgia,1208,8,0.6520617938353583
Arizona,1112,1,Gonzaga,1211,3,0.4975940764429854
Arizona,1112,1,Hawaii,1218,13,0.7976426952685741
Arizona,1112,1,High Point,1219,12,0.7514263200558444
Arizona,1112,1,Hofstra,1220,13,0.752459389676115
Arizona,1112,1,Houston,1222,2,0.4897760855810402
Arizona,1112,1,Howard,1224,16,0.8472632581345481
Arizona,1112,1,Idaho,1225,15,0.8277554763532544
Arizona,1112,1,Illinois,1228,3,0.5523928384458352
Arizona,1112,1,Iowa,1234,9,0.6368350552212843
Arizona,1112,1,Iowa St,1235,2,0.5
Arizona,1112,1,Kansas,1242,4,0.5467988575804824
Arizona,1112,1,Kennesaw State,1244,14,0.5
Arizona,1112,1,Kentucky,1246,7,0.5903362740968091
Arizona,1112,1,Lehigh,1250,16,0.8826115785119935
Arizona,1112,1,LIU Brooklyn,1254,16,0.8536939987613177
Arizona,1112,1,Louisville,1257,6,0.5957119997634895
Arizona,1112,1,McNeese St,1270,12,0.5
Arizona,1112,1,Miami FL,1274,7,0.6240594672934194
Arizona,1112,1,Miami OH,1275,11,0.7571864520258348
Arizona,1112,1,Michigan,1276,1,0.38843553168675404
Arizona,1112,1,Michigan St,1277,3,0.5
Arizona,1112,1,Missouri,1281,10,0.6956483780818803
Arizona,1112,1,North Dakota State,1295,14,0.5
Arizona,1112,1,NC State,1301,11,0.5
Arizona,1112,1,Nebraska,1304,4,0.6161831535349418
Arizona,1112,1,North Carolina,1314,6,0.5233502373128694
Arizona,1112,1,Northern Iowa,1320,12,0.7363477601848984
Arizona,1112,1,Ohio St,1326,8,0.5
Arizona,1112,1,Penn,1335,14,0.8235637003289951
Arizona,1112,1,Prairie View,1341,16,0.5
Arizona,1112,1,Purdue,1345,2,0.5242059405937232
Arizona,1112,1,Queens,1474,15,0.8438246060058194
Arizona,1112,1,Santa Clara,1365,10,0.6696713528605938
Arizona,1112,1,Siena,1373,16,0.8308430090465397
Arizona,1112,1,SMU,1374,11,0.674176699149683
Arizona,1112,1,South Florida,1378,11,0.6844286890249934
Arizona,1112,1,St John's,1385,5,0.5
Arizona,1112,1,Saint Louis,1387,9,0.6509802614555779
Arizona,1112,1,St Mary's CA,1388,7,0.5
Arizona,1112,1,TCU,1395,9,0.6773255927483379
Arizona,1112,1,Tennessee,1397,6,0.5792148970374931
Arizona,1112,1,Tennessee State,1398,15,0.5
Arizona,1112,1,Texas,1400,11,0.6880695780624089
Arizona,1112,1,Texas A&M,1401,10,0.6634532482574239
Arizona,1112,1,Texas Tech,1403,5,0.6211852202456973
Arizona,1112,1,Troy,1407,13,0.79469895904981
Arizona,1112,1,UCF,1416,10,0.7187615574840714
Arizona,1112,1,UCLA,1417,7,0.60043201784113
Arizona,1112,1,UMBC,1420,16,0.8321109767982169
Arizona,1112,1,Utah State,1429,9,0.5
Arizona,1112,1,Vanderbilt,1435,5,0.6168060965508609
Arizona,1112,1,VCU,1433,11,0.676624946580849
Arizona,1112,1,Villanova,1437,8,0.6486609995290868
Arizona,1112,1,Virginia,1438,3,0.6389036234125509
Arizona,1112,1,Wisconsin,1458,5,0.6013555880416319
Arizona,1112,1,Wright State,1460,14,0.5
Arkansas,1116,4,BYU,1140,6,0.604735167547387
Arkansas,1116,4,Cal Baptist,1465,13,0.7552658147774397
Arkansas,1116,4,Clemson,1155,8,0.6180956394734136
Connecticut,1163,2,Arkansas,1116,4,0.6216723664838961
Duke,1181,1,Arkansas,1116,4,0.623452181478188
Florida,1196,1,Arkansas,1116,4,0.5900724742145489
Arkansas,1116,4,Furman,1202,15,0.7818993348084369
Arkansas,1116,4,Georgia,1208,8,0.5922148901492718
Gonzaga,1211,3,Arkansas,1116,4,0.5657689445019068
Arkansas,1116,4,Hawaii,1218,13,0.7533650421430348
Arkansas,1116,4,High Point,1219,12,0.7008290070652327
Arkansas,1116,4,Hofstra,1220,13,0.7019889620855467
Houston,1222,2,Arkansas,1116,4,0.5734366508790524
Arkansas,1116,4,Howard,1224,16,0.81127412467079
Arkansas,1116,4,Idaho,1225,15,0.7883181735638247
Illinois,1228,3,Arkansas,1116,4,0.5111585823909973
Arkansas,1116,4,Iowa,1234,9,0.5760718318702432
Iowa St,1235,2,Arkansas,1116,4,0.5
Kansas,1242,4,Arkansas,1116,4,0.5168037335889555
Arkansas,1116,4,Kennesaw State,1244,14,0.5
Arkansas,1116,4,Kentucky,1246,7,0.5275646401717038
Arkansas,1116,4,Lehigh,1250,16,0.8535114531906165
Arkansas,1116,4,LIU Brooklyn,1254,16,0.8188962409292059
Arkansas,1116,4,Louisville,1257,6,0.5331126164377458
Arkansas,1116,4,McNeese St,1270,12,0.5
Arkansas,1116,4,Miami FL,1274,7,0.5626267439916425
Arkansas,1116,4,Miami OH,1275,11,0.7073049142474676
Michigan,1276,1,Arkansas,1116,4,0.6701532764044047
Michigan St,1277,3,Arkansas,1116,4,0.5
Arkansas,1116,4,Missouri,1281,10,0.6391496800854297
Arkansas,1116,4,North Dakota State,1295,14,0.5
Arkansas,1116,4,NC State,1301,11,0.5
Nebraska,1304,4,Arkansas,1116,4,0.4456175923129466
Arkansas,1116,4,North Carolina,1314,6,0.4597084830445947
Arkansas,1116,4,Northern Iowa,1320,12,0.6839720344686028
Arkansas,1116,4,Ohio St,1326,8,0.5
Arkansas,1116,4,Penn,1335,14,0.7834177633222407
Arkansas,1116,4,Prairie View,1341,16,0.5
Purdue,1345,2,Arkansas,1116,4,0.5394393260827387
Arkansas,1116,4,Queens,1474,15,0.8072095949916233
Arkansas,1116,4,Santa Clara,1365,10,0.6110466259832016
Arkansas,1116,4,Siena,1373,16,0.7919349382167606
Arkansas,1116,4,SMU,1374,11,0.6158929334574433
Arkansas,1116,4,South Florida,1378,11,0.6269640847170616
Arkansas,1116,4,St John's,1385,5,0.5
Arkansas,1116,4,Saint Louis,1387,9,0.5910639958078414
Arkansas,1116,4,St Mary's CA,1388,7,0.5
Arkansas,1116,4,TCU,1395,9,0.6192870178309596
Arkansas,1116,4,Tennessee,1397,6,0.5161359145403909
Arkansas,1116,4,Tennessee State,1398,15,0.5
Arkansas,1116,4,Texas,1400,11,0.6309104377337169
Arkansas,1116,4,Texas A&M,1401,10,0.6043769171916443
Arkansas,1116,4,Texas Tech,1403,5,0.5596142594756587
Arkansas,1116,4,Troy,1407,13,0.7499790874100801
Arkansas,1116,4,UCF,1416,10,0.6644840970983404
Arkansas,1116,4,UCLA,1417,7,0.537996673131083
Arkansas,1116,4,UMBC,1420,16,0.7934220390797359
Arkansas,1116,4,Utah State,1429,9,0.5
Arkansas,1116,4,Vanderbilt,1435,5,0.5550332217627568
Arkansas,1116,4,VCU,1433,11,0.6185313244661741
Arkansas,1116,4,Villanova,1437,8,0.5885982045705808
Virginia,1438,3,Arkansas,1116,4,0.42174270257023555
Arkansas,1116,4,Wisconsin,1458,5,0.5389537448366339
Arkansas,1116,4,Wright State,1460,14,0.5
BYU,1140,6,Cal Baptist,1465,13,0.6685562614049994
BYU,1140,6,Clemson,1155,8,0.5140558879130996
Connecticut,1163,2,BYU,1140,6,0.715426491188474
Duke,1181,1,BYU,1140,6,0.7169660515093736
Florida,1196,1,BYU,1140,6,0.6877238769995708
BYU,1140,6,Furman,1202,15,0.7008889734751872
BYU,1140,6,Georgia,1208,8,0.4869765950251577
Gonzaga,1211,3,BYU,1140,6,0.6659321364879395
BYU,1140,6,Hawaii,1218,13,0.6662796106595185
BYU,1140,6,High Point,1219,12,0.6049214519157143
BYU,1140,6,Hofstra,1220,13,0.6062443382416627
Houston,1222,2,BYU,1140,6,0.6728538655850725
BYU,1140,6,Howard,1224,16,0.7375117725476023
BYU,1140,6,Idaho,1225,15,0.7088040764086408
Illinois,1228,3,BYU,1140,6,0.6153544926037339
BYU,1140,6,Iowa,1234,9,0.47039310488532077
Iowa St,1235,2,BYU,1140,6,0.5
Kansas,1242,4,BYU,1140,6,0.6206892766993239
BYU,1140,6,Kennesaw State,1244,14,0.5
BYU,1140,6,Kentucky,1246,7,0.4219279000087967
BYU,1140,6,Lehigh,1250,16,0.7920253322999389
BYU,1140,6,LIU Brooklyn,1254,16,0.7471845897201775
Louisville,1257,6,BYU,1140,6,0.5726300918474497
BYU,1140,6,McNeese St,1270,12,0.5
BYU,1140,6,Miami FL,1274,7,0.456757014999209
BYU,1140,6,Miami OH,1275,11,0.6123249999308208
Michigan,1276,1,BYU,1140,6,0.7565971406244306
Michigan St,1277,3,BYU,1140,6,0.5
BYU,1140,6,Missouri,1281,10,0.5365449151880572
BYU,1140,6,North Dakota State,1295,14,0.5
BYU,1140,6,NC State,1301,11,0.5
Nebraska,1304,4,BYU,1140,6,0.5515266926179414
North Carolina,1314,6,BYU,1140,6,0.6426193055502543
BYU,1140,6,Northern Iowa,1320,12,0.5858539174445584
BYU,1140,6,Ohio St,1326,8,0.5
BYU,1140,6,Penn,1335,14,0.7027569935769792
BYU,1140,6,Prairie View,1341,16,0.5
Purdue,1345,2,BYU,1140,6,0.6418310562892137
BYU,1140,6,Queens,1474,15,0.7323826812295609
BYU,1140,6,Santa Clara,1365,10,0.5066194061016834
BYU,1140,6,Siena,1373,16,0.7132852908978363
BYU,1140,6,SMU,1374,11,0.5117271453582247
BYU,1140,6,South Florida,1378,11,0.5234777061931765
St John's,1385,5,BYU,1140,6,0.5
BYU,1140,6,Saint Louis,1387,9,0.4857865804570069
BYU,1140,6,St Mary's CA,1388,7,0.5
BYU,1140,6,TCU,1395,9,0.5153173208834595
Tennessee,1397,6,BYU,1140,6,0.5892022594649277
BYU,1140,6,Tennessee State,1398,15,0.5
BYU,1140,6,Texas,1400,11,0.5276941182816715
BYU,1140,6,Texas A&M,1401,10,0.4996253678276629
Texas Tech,1403,5,BYU,1140,6,0.5462766601538093
BYU,1140,6,Troy,1407,13,0.6622341158089464
BYU,1140,6,UCF,1416,10,0.5641708861413016
BYU,1140,6,UCLA,1417,7,0.4321819540766398
BYU,1140,6,UMBC,1420,16,0.7151323184979526
BYU,1140,6,Utah State,1429,9,0.5
Vanderbilt,1435,5,BYU,1140,6,0.5508748999154719
BYU,1140,6,VCU,1433,11,0.514517038080232
BYU,1140,6,Villanova,1437,8,0.48324098614999017
Virginia,1438,3,BYU,1140,6,0.5273753763377302
Wisconsin,1458,5,BYU,1140,6,0.5668727395420201
BYU,1140,6,Wright State,1460,14,0.5
Clemson,1155,8,Cal Baptist,1465,13,0.6559785560112605
Connecticut,1163,2,Cal Baptist,1465,13,0.8352840997499065
Duke,1181,1,Cal Baptist,1465,13,0.8363235734631344
Florida,1196,1,Cal Baptist,1465,13,0.8162526312451409
Cal Baptist,1465,13,Furman,1202,15,0.5373980704323364
Georgia,1208,8,Cal Baptist,1465,13,0.6799991468249286
Gonzaga,1211,3,Cal Baptist,1465,13,0.8008325726394284
Cal Baptist,1465,13,Hawaii,1218,13,0.4974358868408578
High Point,1219,12,Cal Baptist,1465,13,0.5684790644367498
Cal Baptist,1465,13,Hofstra,1220,13,0.4328801046363228
Houston,1222,2,Cal Baptist,1465,13,0.8057744384234109
Cal Baptist,1465,13,Howard,1224,16,0.5821032248176762
Cal Baptist,1465,13,Idaho,1225,15,0.5468423208712946
Illinois,1228,3,Cal Baptist,1465,13,0.7634230553705981
Iowa,1234,9,Cal Baptist,1465,13,0.6942848976938584
Iowa St,1235,2,Cal Baptist,1465,13,0.5
Kansas,1242,4,Cal Baptist,1465,13,0.7674802098610669
Cal Baptist,1465,13,Kennesaw State,1244,14,0.5
Kentucky,1246,7,Cal Baptist,1465,13,0.7342954773584967
Cal Baptist,1465,13,Lehigh,1250,16,0.6537388313040822
Cal Baptist,1465,13,LIU Brooklyn,1254,16,0.5943530173807774
Louisville,1257,6,Cal Baptist,1465,13,0.7299270493664681
McNeese St,1270,12,Cal Baptist,1465,13,0.5
Miami FL,1274,7,Cal Baptist,1465,13,0.7057990708676293
Miami OH,1275,11,Cal Baptist,1465,13,0.5608387193342254
Michigan,1276,1,Cal Baptist,1465,13,0.8624483145070128
Michigan St,1277,3,Cal Baptist,1465,13,0.5
Missouri,1281,10,Cal Baptist,1465,13,0.6353462087359195
Cal Baptist,1465,13,North Dakota State,1295,14,0.5
NC State,1301,11,Cal Baptist,1465,13,0.5
Nebraska,1304,4,Cal Baptist,1465,13,0.7126938450620517
North Carolina,1314,6,Cal Baptist,1465,13,0.7838785163113704
Northern Iowa,1320,12,Cal Baptist,1465,13,0.5877836907321536
Ohio St,1326,8,Cal Baptist,1465,13,0.5
Cal Baptist,1465,13,Penn,1335,14,0.5396164536403174
Cal Baptist,1465,13,Prairie View,1341,16,0.5
Purdue,1345,2,Cal Baptist,1465,13,0.7832967667953538
Cal Baptist,1465,13,Queens,1474,15,0.5756845389623362
Santa Clara,1365,10,Cal Baptist,1465,13,0.6626628144636759
Cal Baptist,1465,13,Siena,1373,16,0.5522414726277193
SMU,1374,11,Cal Baptist,1465,13,0.658079004865352
South Florida,1378,11,Cal Baptist,1465,13,0.6474119773644048
St John's,1385,5,Cal Baptist,1465,13,0.5
Saint Louis,1387,9,Cal Baptist,1465,13,0.681034816437953
St Mary's CA,1388,7,Cal Baptist,1465,13,0.5
TCU,1395,9,Cal Baptist,1465,13,0.6548380023321335
Tennessee,1397,6,Cal Baptist,1465,13,0.7431357537328809
Cal Baptist,1465,13,Tennessee State,1398,15,0.5
Texas,1400,11,Cal Baptist,1465,13,0.6435423761550103
Texas A&M,1401,10,Cal Baptist,1465,13,0.6688882347072298
Texas Tech,1403,5,Cal Baptist,1465,13,0.7083327555641865
Cal Baptist,1465,13,Troy,1407,13,0.49290139234220554
UCF,1416,10,Cal Baptist,1465,13,0.6091059099547437
UCLA,1417,7,Cal Baptist,1465,13,0.7260387693407125
Cal Baptist,1465,13,UMBC,1420,16,0.5544779533262155
Utah State,1429,9,Cal Baptist,1465,13,0.5
Vanderbilt,1435,5,Cal Baptist,1465,13,0.712154037728186
VCU,1433,11,Cal Baptist,1465,13,0.6555618236673355
Villanova,1437,8,Cal Baptist,1465,13,0.6832447294929815
Virginia,1438,3,Cal Baptist,1465,13,0.6923808330867017
Wisconsin,1458,5,Cal Baptist,1465,13,0.7252720958174342
Cal Baptist,1465,13,Wright State,1460,14,0.5
Connecticut,1163,2,Clemson,1155,8,0.7267361413317643
Duke,1181,1,Clemson,1155,8,0.7282377578521824
Florida,1196,1,Clemson,1155,8,0.6996723227640961
Clemson,1155,8,Furman,1202,15,0.6889674142237687
Clemson,1155,8,Georgia,1208,8,0.4729405206603659
Gonzaga,1211,3,Clemson,1155,8,0.678324383788989
Clemson,1155,8,Hawaii,1218,13,0.6536602664984864
Clemson,1155,8,High Point,1219,12,0.5914047658966594
Clemson,1155,8,Hofstra,1220,13,0.5927424411835801
Houston,1222,2,Clemson,1155,8,0.6851107622851225
Clemson,1155,8,Howard,1224,16,0.7264802464512353
Clemson,1155,8,Idaho,1225,15,0.6970616342988499
Illinois,1228,3,Clemson,1155,8,0.6285764798495063
Clemson,1155,8,Iowa,1234,9,0.45640977746574296
Iowa St,1235,2,Clemson,1155,8,0.5
Kansas,1242,4,Clemson,1155,8,0.6338370029510625
Clemson,1155,8,Kennesaw State,1244,14,0.5
Kentucky,1246,7,Clemson,1155,8,0.5917253602841196
Clemson,1155,8,Lehigh,1250,16,0.7826095257906981
Clemson,1155,8,LIU Brooklyn,1254,16,0.7364142920192835
Louisville,1257,6,Clemson,1155,8,0.5863334353022869
Clemson,1155,8,McNeese St,1270,12,0.5
Miami FL,1274,7,Clemson,1155,8,0.557159901520005
Clemson,1155,8,Miami OH,1275,11,0.5988936561564474
Michigan,1276,1,Clemson,1155,8,0.7668039013229673
Michigan St,1277,3,Clemson,1155,8,0.5
Clemson,1155,8,Missouri,1281,10,0.5225353302783989
Clemson,1155,8,North Dakota State,1295,14,0.5
Clemson,1155,8,NC State,1301,11,0.5
Nebraska,1304,4,Clemson,1155,8,0.5653931357233265
North Carolina,1314,6,Clemson,1155,8,0.6554288770817757
Clemson,1155,8,Northern Iowa,1320,12,0.5721462805048992
Clemson,1155,8,Ohio St,1326,8,0.5
Clemson,1155,8,Penn,1335,14,0.6908770502670999
Clemson,1155,8,Prairie View,1341,16,0.5
Purdue,1345,2,Clemson,1155,8,0.6546536976161408
Clemson,1155,8,Queens,1474,15,0.7212170784382298
Clemson,1155,8,Santa Clara,1365,10,0.49256074954862533
Clemson,1155,8,Siena,1373,16,0.701647490438171
Clemson,1155,8,SMU,1374,11,0.49766972099485807
Clemson,1155,8,South Florida,1378,11,0.5094342715187347
St John's,1385,5,Clemson,1155,8,0.5
Clemson,1155,8,Saint Louis,1387,9,0.4717532653267015
St Mary's CA,1388,7,Clemson,1155,8,0.5
Clemson,1155,8,TCU,1395,9,0.5012625202454497
Tennessee,1397,6,Clemson,1155,8,0.602742864394181
Clemson,1155,8,Tennessee State,1398,15,0.5
Clemson,1155,8,Texas,1400,11,0.5136594990512446
Clemson,1155,8,Texas A&M,1401,10,0.4855697838603889
Texas Tech,1403,5,Clemson,1155,8,0.5601759799041257
Clemson,1155,8,Troy,1407,13,0.6495422593992088
Clemson,1155,8,UCF,1416,10,0.5502964636002887
UCLA,1417,7,Clemson,1155,8,0.5815629366909101
Clemson,1155,8,UMBC,1420,16,0.7035383290589088
Clemson,1155,8,Utah State,1429,9,0.5
Vanderbilt,1435,5,Clemson,1155,8,0.5647455916383883
Clemson,1155,8,VCU,1433,11,0.5004615268651014
Clemson,1155,8,Villanova,1437,8,0.4692141062846756
Virginia,1438,3,Clemson,1155,8,0.5413675936960365
Wisconsin,1458,5,Clemson,1155,8,0.5806254898898299
Clemson,1155,8,Wright State,1460,14,0.5
Duke,1181,1,Connecticut,1163,2,0.5018935871571666
Florida,1196,1,Connecticut,1163,2,0.4669513430352646
Connecticut,1163,2,Furman,1202,15,0.8548827039757396
Connecticut,1163,2,Georgia,1208,8,0.7047003037976157
Connecticut,1163,2,Gonzaga,1211,3,0.5577520090708625
Connecticut,1163,2,Hawaii,1218,13,0.8338681007254629
Connecticut,1163,2,High Point,1219,12,0.7937863003584648
Connecticut,1163,2,Hofstra,1220,13,0.7946914229862467
Houston,1222,2,Connecticut,1163,2,0.4499763986429035
Connecticut,1163,2,Howard,1224,16,0.8759868069257842
Connecticut,1163,2,Idaho,1225,15,0.8595394540590938
Connecticut,1163,2,Illinois,1228,3,0.6111172356320042
Connecticut,1163,2,Iowa,1234,9,0.6906844205532573
Connecticut,1163,2,Iowa St,1235,2,0.5
Connecticut,1163,2,Kansas,1242,4,0.6057333413202624
Connecticut,1163,2,Kennesaw State,1244,14,0.5
Connecticut,1163,2,Kentucky,1246,7,0.6472614326857485
Connecticut,1163,2,Lehigh,1250,16,0.9054295447306324
Connecticut,1163,2,LIU Brooklyn,1254,16,0.8813775060785145
Connecticut,1163,2,Louisville,1257,6,0.6523300978447948
Connecticut,1163,2,McNeese St,1270,12,0.5
Connecticut,1163,2,Miami FL,1274,7,0.6788478674331893
Connecticut,1163,2,Miami OH,1275,11,0.7988276294512072
Michigan,1276,1,Connecticut,1163,2,0.5528581923559075
Connecticut,1163,2,Michigan St,1277,3,0.5
Connecticut,1163,2,Missouri,1281,10,0.7442788287664713
Connecticut,1163,2,North Dakota State,1295,14,0.5
Connecticut,1163,2,NC State,1301,11,0.5
Connecticut,1163,2,Nebraska,1304,4,0.6715152216351553
Connecticut,1163,2,North Carolina,1314,6,0.5830086031517306
Connecticut,1163,2,Northern Iowa,1320,12,0.7805268021952763
Connecticut,1163,2,Ohio St,1326,8,0.5
Connecticut,1163,2,Penn,1335,14,0.8559866048873006
Connecticut,1163,2,Prairie View,1341,16,0.5
Connecticut,1163,2,Purdue,1345,2,0.5838423699203891
